price,part number
362.95,CMN32GX4M4Z3200C16W
362.95,CMN128GX4M4Z3200C16
339.95,CMN16GX4M2Z4000C18
339.95,CMN64GX4M4Z3600C18
223.95,CMN16GX4M2Z3200C16W
24.5,CMG64GX4M2E3200C16
67.5,CMT128GX4M4D3600C18
80.5,F4-4600C19D-16GTZRE
466.95,F5-5600J4040C16GX2-TZ5RK
353.95,F5-5600J3636C16GX2-TZ5RS
115.95,F5-6000J3636F16GX2-TZ5RK
155.95,KVR48U40BS6-8
461.95,KF556C40BB-8
126.95,F5-6000J3238F16GX2-RS5W
248.95,F5-6000J3040F16GX2-TZ5S
76.95,KF548C38BBAK2-32
223.95,F5-5200J4040A16GX2-RS5W
636.95,CMT64GX5M2B5200C40W
140.95,CMT64GX5M2X5600C40
197.95,F5-6000J3040G32GX2-TZ5K
234.95,F4-3600C14Q-32GTESA
260.95,KF560C32RSA-16
44.5,CMH32GX5M2B5600C40
51.5,CM4X8GD3000C16K4D
189.95,F5-6000J3238F16GX2-TZ5N
209.95,F5-5600J3036D16GX2-TZ5NR
194.95,F5-6000J3038F16GX2-TZ5NR
164.95,F5-5200J3636D32GX2-FX5
374.95,CMT32GX5M2B6400C32
409.95,CMH64GX5M4B5600Z36
379.95,KF560C40BB-32
518.95,CMK48GX5M2B5200C38
111.95,CT16G56C46U5
188.95,F5-7200J3646F24GX2-TZ5RS
30.25,F5-7200J3646F24GX2-TZ5RK
267.95,KF552C36BWEAK2-64
264.95,F5-5600J4040D24GX2-RS5K
318.95,F5-6000J4048F24GX2-RS5K
198.95,F5-6400J4048F24GX2-RS5K
283.95,CMT32GX5M2B6400C32
388.95,F5-6000J4048F24GX2-FX5
178.95,F5-6000J4048F24GX2-TZ5NR
92.95,F5-6800J3446F48GX2-TZ5RK
358.95,F3-12800CL9D-8GBSR
358.95,CMV8GX3M2A1333C9
238.95,F4-3200C14D-16GVR
187.95,F4-3200C16D-16GSXKB
187.95,F4-3200C16Q-64GSXKB
204.95,F4-4000C17D-16GTZR
199.95,F4-3600C19Q-32GSXWB
186.95,CMK32GX4M4K4133C19
203.95,F4-2666C19D-16GVR
46.5,F4-2666C19D-16GSXW
635.95,CMW32GX4M4C3200C16W
38.95,CMW32GX4M4C3600C18
56.5,CT4G4DFS8266
101.95,F4-4600C18D-16GTRS
55.5,KVR24N17S6L/4
195.95,F4-3200C16Q-32GTRG
158.95,CMW16GX4M2D3600C18
114.95,CMW32GX4M4D3600C18
494.95,CMK64GX4M2A2400C16
50.95,CMT32GX4M4K4266C19
52.95,F4-3000C16D-16GTZN
155.95,F4-3200C16Q-64GTZN
179.95,CMV32GX4M1A2666C18
27.95,F4-3200C16Q-32GFX
325.95,F4-2666C18D-64GTRS
28.5,F4-3200C16Q-32GTRSU
198.95,CMSA64GX4M2A2666C18
79.95,CMW64GX4M4E3200C16
167.95,CMT64GX4M4K3600C18W
189.95,CT16G4DFRA266
849.95,F4-4400C17D-16GVK
63.95,F4-4400C16D-16GVK
253.95,F4-4000C16D-16GTZR
98.95,F4-3600C16Q-128GTZN
101.95,CMT32GX4M2C3600C18
180.95,4XTXU8G1M2666C1
255.95,CMW32GX4M4D3600C16
200.95,F4-2666C19S-32GNT
236.95,F4-2666C19Q-128GVK
365.95,CMT64GX4M4K3600C18W
77.5,F4-4400C18D-16GTRSC
175.95,F4-3600C14Q-64GVK
190.95,F4-3600C14Q-64GTZN
161.95,F4-4000C18D-32GTRG
675.95,F4-4000C16D-16GTRSA
181.95,CMH32GX4M4D3600C18W
82.5,F4-4266C16D-32GTRS
191.95,F4-4000C16D-32GTES
73.5,KF432C16BBA/32
305.95,KF436C18BBK2/64
111.95,KF440C19RBAK2/16
143.95,KF432C16BBK2/32
529.95,KF436C17BBK2/16
607.95,CMK64GX4M4G4000C18
151.95,CMN16GX4M2Z3200C16
174.95,CMN64GX4M2Z3200C16W
163.95,CMN16GX4M2Z3200C16
339.95,CMN64GX4M2Z3200C16
356.95,CMN32GX4M4Z3600C18W
110.95,CMH64GX4M2Z4000C18
264.95,F4-4600C19D-16GVKE
128.95,F4-3600C14D-16GTEGA
92.95,F4-3600C14D-16GTZRA
66.5,F4-4000C14D-16GTRG
387.95,CT32G48C40U5
155.95,F5-5600U3636C16GX2-TZ5S
235.95,CMT32GX5M2X5600C36
77.5,KF560C40BB-16
235.95,F5-5200J3636C16GX2-TZ5RS
173.95,CMT32GX5M2B5600C36
424.95,KVR48U40BS6K2-16
108.95,KF548C38BB-32
261.95,F5-6000J3238F16GX2-TZ5RK
194.95,F5-6000J3040G32GX2-TZ5RK
255.95,KF556C40BBAK2-64
170.95,F4-3600C14Q2-128GTZNA
381.95,F5-5200J4040A16GX2-TZ5RK
427.95,F4-3600C14Q2-64GTEGA
111.95,CMG8GX4M1D3600C18
197.95,KF560C32RS-16
223.95,KF560C32RSK2-32
92.5,KF564C32RSK2-32
162.95,F5-6000J3238G32GX2-RS5K
287.95,F5-6000J3238F16GX2-TZ5RK
537.95,CMK64GX5M2B5200Z40
449.95,F5-6000J3636F16GX2-TZ5NR
197.95,CMT64GX5M2B5600Z40K
1038.95,F5-6000J3040G32GX2-TZ5NR
41.25,F5-7800J3646H16GX2-TZ5RS
84.5,F5-8000J3848H16GX2-TZ5RS
302.95,KF560C40BBAK2-64
356.95,KF556C36BBEAK2-64
484.95,CMT64GX5M4B6600C32
92.95,CMK64GX5M2B6400C32
318.95,CMK64GX5M2B6200C32
263.95,CMK64GX5M4B6200C32
205.95,CT32G52C42U5
407.95,CT2K16G56C46U5
543.95,F5-8000J4048F24GX2-TZ5RS
535.95,F5-8000J4048F24GX2-TZ5RK
636.95,CMT64GX5M2B6400C32
366.95,CMT32GX5M2X7200C34
311.95,KF552C40BWAK2-64
636.95,KF556C40BWAK2-32
398.95,F5-5600J4040D48GX2-TZ5RK
384.95,F5-5600J4040D24GX2-FX5
405.95,F5-5600J4040D48GX2-TZ5NR
169.95,CMT64GX5M2B6000Z30
169.95,F5-6400J3648G24GX2-TZ5RK
473.95,CMZ16GX3M2A1600C10
473.95,CMV8GX3M1A1333C9
345.95,KVR16LN11/8
235.95,CMK16GX4M2A2400C14
238.95,CMK8GX4M1A2666C16
144.95,F4-3200C15D-16GVK
370.95,F4-3200C14D-16GTZ
169.95,KCP316ND8/8
374.95,F4-3200C16Q-32GTZR
353.95,CMK16GX4M1D3000C16
228.95,F4-3600C19D-32GSXKB
107.95,F4-3600C19D-32GVRB
49.25,F4-2666C19D-16GSXK
79.95,CT4G4DFS6266
56.5,F4-3000C16D-16GTRG
28.75,CMT16GX4M2K4000C19
91.5,F4-3600C18D-32GTRG
113.95,F4-3200C14D-16GTZ
61.5,F4-3600C18Q-32GTRG
157.95,F4-3600C18D-32GTZR
50.95,F4-3600C16D-16GTZRC
101.95,F4-3200C16Q-128GTRG
99.5,CMK32GX4M1D3000C16
52.95,CMW16GX4M2Z4000C18
27.75,F4-4000C15D-16GTRG
92.5,F4-3000C16Q-32GTRSU
183.95,F4-4000C17Q-32GTRSU
135.95,CMT32GX4M4C3200C16W
177.95,F4-4266C17D-32GTRGB
186.95,
122.95,F4-3600C16D-64GTRS
98.95,CMH16GX4M2D3600C18
431.95,F4-4000C18D-32GTZN
102.95,F4-4400C17D-32GVK
126.95,F4-4800C17D-16GVK
191.95,CMT64GX4M2E3200C16
237.95,F4-4266C19D-16GTZRC
390.95,F4-4266C19D-16GTRGC
236.95,F4-3600C16D-32GTESC
298.95,F4-3600C16D-16GTEGC
72.95,F4-4600C20D-32GTZR
282.95,F4-4800C20D-32GTES
78.5,F4-3600C16Q-32GTEGC
147.95,KF436C17BBAK2/16
336.95,KF437C19BB/8
334.95,KF426C16BB1K2/32
296.95,KF440C19RB1K2/32
126.95,KF437C19BB1K2/32
140.95,CMT16GX4M2Z3600C14
214.95,CMH16GX4M2Z3600C16
162.95,CMH16GX4M2Z4000C18
199.95,CMN32GX4M2Z4000C18
317.95,CMN64GX4M4Z3200C16
326.95,CMN32GX4M2Z3600C18
79.5,CMG16GX4M2D3600C18
42.25,CMN16GX4M2Z3600C18W
123.95,CMT16GX4M2Z4000C18
163.95,F4-3600C14D-16GTZNA
109.95,CT2K16G48C40U5
255.95,CT2K32G48C40U5
99.5,F4-4600C19D-32GTRS
126.95,CMH16GX4M2Z4000C18
223.95,KF556C40BB-16
248.95,F5-5600J4040C16GX2-TZ5S
120.95,F5-6000J3636F16GX2-TZ5S
76.95,F5-6000J4040F16GX2-TZ5RS
81.95,F5-6000J3636F16GX2-TZ5RS
194.95,KF556C40BB-32
201.95,F5-5600J3036D32GX2-TZ5RK
211.95,F5-6000J3040F16GX2-TZ5RS
280.95,F5-6600J3440G16GX2-TZ5RK
332.95,F5-6000J3040G32GX2-TZ5RS
400.95,KF548C38BBAK2-64
85.95,KF552C40BBAK2-64
177.95,KF556C40BBAK2-32
194.95,CMT64GX5M2B5600C40
255.95,CMT32GX5M2X6200C36W
259.95,CMK32GX5M2D6000C36
223.95,
475.95,CMT64GX4M4E3200C16W
308.95,F4-3600C14Q2-64GTESA
318.95,CMT16GX4M2E3200C16W
537.95,CMT32GX4M2D3600C18W
253.95,CMH64GX4M4E3200C16W
358.95,F5-6000J3238G32GX2-TZ5K
247.95,CMT32GX5M2B5200Z40
409.95,KF560C36BBE-16
263.95,KF560C36BBEAK2-32
184.95,F5-6000J3636F16GX2-TZ5N
525.95,CMK32GX5M2X7200C34
334.95,F5-7800J3646H16GX2-TZ5RK
1027.95,KF560C40BBK2-64
111.95,KF552C36BBEAK2-64
175.95,KF560C36BBEAK2-16
230.95,CMT64GX5M4B6400C32
551.95,CMH64GX5M4B6400C32
209.95,CMH64GX5M4B6200C32
98.95,CMK64GX5M4B6600C32
206.95,CMH48GX5M2B5600C40
240.95,CMH32GX5M2B6400C36
365.95,CT16G52C42U5
535.95,CT2K32G52C42U5
358.95,CT8G48C40S8U5
294.95,F5-6000J3636F32GX2-TZ5RK
118.95,F5-6400J4048F24GX2-TZ5RK
555.95,CMT64GX5M4B6400C32
484.95,F5-7600J3852F24GX2-TZ5RK
467.95,F5-6400J3239F48GX2-RS5K
549.95,F3-8500CL7S-4GBRL
248.95,CMZ12GX3M3A1600C9
220.95,F3-14900CL10S-8GBXL
92.95,CMK8GX4M2A2400C14
332.95,CMK4GX4M1A2400C14
42.75,F4-2400C15D-8GVR
255.95,F4-2400C15D-16GTZR
217.95,F4-3000C16D-16GTZR
193.95,F4-2400C17D-8GVR
381.95,CMV4GX4M1A2666C18
584.95,CMK32GX4M4Z3200C16
17.75,CMK8GX4M1D3000C16
84.5,F4-2666C18D-16GTZR
36.25,CMW16GX4M2C3000C15W
48.5,F4-3600C18D-16GTRS
23.75,F4-3200C16Q-32GTRS
36.25,F4-4000C17D-16GTRS
72.5,F4-3600C19D-32GTRS
74.95,CMT16GX4M2Z3200C16
30.25,CMT32GX4M2C3200C16
22.75,F4-3200C16Q2-128GTRG
117.95,CMK128GX4M4A2666C16
29.95,F4-3600C16Q-32GTZNC
69.5,F4-3000C16Q-32GTZN
77.5,F4-3600C16D-32GTRGC
96.5,F4-3600C18Q-32GTRS
186.95,F4-4000C18Q-32GTZRB
165.95,F4-2666C18D-32GTZN
135.95,F4-2666C18Q-32GTZN
117.95,CMK256GX4M8E3200C16
166.95,CMT64GX4M4Z3600C18
526.95,CMW128GX4M4E3200C16
374.95,CMK128GX4M4D3600C18
207.95,CMW16GX4M2D3600C18W
159.95,F4-3600C18D-64GVK
163.95,F4-3600C18Q-128GTZN
193.95,CMW16GX4M1Z3600C18
201.95,F4-4000C17D-32GTZRB
117.95,F4-4400C16D-16GTZR
149.95,F4-4000C16D-32GTRS
885.95,F4-4400C17D-16GTRS
365.95,CMT64GX4M4Z3600C18
463.95,F4-3600C16D-64GTZN
433.95,CMW64GX4M4D3600C18
81.95,CMW32GX4M2E3200C16-TUF
189.95,F4-4400C18D-16GVKC
446.95,F4-4400C18D-16GTZRC
62.95,F4-3600C16Q2-256GTRG
273.95,CMT16GX4M2E3200C16
222.95,F4-4000C16D-16GTZNA
285.95,CMH64GX4M4D3600C18
209.95,F4-5333C22D-16GTRS
264.95,F4-4266C16D-32GTRG
298.95,F4-4400C17D-32GTRG
248.95,CMT32GX4M2E3200C16W
117.95,CMT32GX4M4D3600C18
101.95,F4-4800C19D-16GTEGC
132.95,KF436C16RBK2/16
1099.95,KF432C16RBK2/64
112.95,CMT16GX4M2G4000C16
173.95,CMN128GX4M4Z3600C18
242.95,CMN32GX4M4Z3600C18
264.95,CMN16GX4M2Z3600C16
345.95,CMN64GX4M4Z3200C16W
344.95,CMG32GX4M2D3600C18
166.95,CMN16GX4M2Z3600C18
248.95,F4-4000C14D-16GTEG
179.95,F4-4000C14D-16GTZR
83.5,F4-4600C19D-32GTRG
211.95,F5-5600J3636C16GX2-TZ5S
339.95,F5-6000J4040F16GX2-TZ5RK
487.95,CMT64GX5M2B5200C40
167.95,
97.5,
246.95,KF560C40BB-8
113.95,F5-5600J3636D32GX2-RS5W
81.95,F5-5600J3036D16GX2-TZ5RS
323.95,F5-6000J3040F16GX2-TZ5RK
259.95,F5-6000J3040G32GX2-RS5K
335.95,F5-5600J2834F16GX2-RS5W
179.95,F5-5200J4040A16GX2-TZ5RS
382.95,CMT32GX4M4E3200C16W
374.95,F4-3600C14Q-32GTRSA
167.95,F4-4266C19D-32GTRG
330.95,CMK128GX4M8E3200C16
59.95,KF560C40BB-8
322.95,KF564C32RSA-16
263.95,CMK64GX5M2A4800C40
371.95,KF560C36BBEA-16
188.95,F5-5600J3636C16GX2-FX5
197.95,CMT64GX5M2B5200Z40K
223.95,F5-6000J3238G32GX2-TZ5NR
398.95,F5-6800J3445G16GX2-TZ5RK
159.95,F5-7600J3646G16GX2-TZ5RK
442.95,CMT64GX5M4B5600C36
132.95,CMH64GX5M2B6000C40
187.95,CMT64GX5M4B5600Z36
312.95,KF556C36BBEAK2-16
230.95,CMK64GX5M2B6600C32
113.95,CMK96GX5M2B5600C40
202.95,CMH48GX5M2B5200C38
374.95,CMH32GX5M2B6800C40
516.95,CT2K16G52C42U5
339.95,CMH48GX5M2B6400C36
507.95,F5-6400J3239F48GX2-TZ5RS
457.95,CMH32GX5M2B6000C30
384.95,F5-5600J4040D48GX2-RS5K
457.95,CMT32GX5M2B6000C30
109.95,F5-5600J4040D24GX2-TZ5NR
413.95,CMH48GX5M2E6000C36
481.95,CMK64GX5M2B6000C30
236.95,CMK48GX5M2E6000C36
271.95,F5-6800J3446F48GX2-RS5K
169.95,F5-6400J3648G24GX2-RS5K
214.95,F5-6400J3239F24GX2-RS5K
590.95,F4-3200C16D-8GVKB
162.95,F4-2133C15S-16GIS
340.95,F4-2133C15S-4GIS
195.95,F4-2133C15D-8GIS
190.95,CMK8GX4M1A2400C16R
202.95,CMK16GX4M2A2666C16W
286.95,F4-2400C15D-16GFX
193.95,F4-2400C15D-16GFXR
626.95,F4-3000C16D-16GSXWB
203.95,CMK64GX4M4D3000C16
245.95,F4-3200C16D-16GSXWB
41.25,F4-3600C19D-16GVRB
38.25,CMW16GX4M2C3600C18W
12.5,F4-2133C15S-4GIS
25.25,CMT32GX4M4C3200C16
28.25,CMT32GX4M4Z3200C16
56.5,F4-3200C16D-32GTRS
52.95,CMT32GX4M2C3466C16
52.95,CMW16GX4M2Z3600C18
55.5,F4-3600C16D-16GTZNC
193.95,F4-3600C18D-16GTZN
57.5,F4-3200C16D-16GTZN
53.95,F4-3000C16D-32GTZN
90.95,F4-3200C14Q-64GTZN
74.95,F4-3600C16Q-32GVKC
236.95,F4-3200C16Q-64GFX
236.95,F4-2666C18Q-128GTZN
130.95,CMK64GX4M2D3000C16
152.95,F4-3200C14Q-32GTRSU
81.95,F4-3200C16Q-128GTZR
103.95,F4-3200C16Q2-256GTZR
84.95,F4-3600C18Q-128GTRS
84.95,CMT64GX4M2C3600C18
117.95,CMT32GX4M4Z3200C16W
469.95,CMT32GX4M4C3600C18W
139.95,KCP426NS6/4
189.95,CMW8GX4M1Z3600C18
358.95,CMK8GX4M1Z3600C18
198.95,F4-4000C17Q-32GVKB
372.95,F4-4000C17D-32GVKB
428.95,F4-4000C16D-32GVK
841.95,F4-4000C16D-16GTRS
424.95,F4-4400C16D-16GTRS
323.95,F4-4000C18D-64GTRG
236.95,F4-3600C16Q-128GVK
254.95,4XTXU16G2M320
25.75,4XTXU16G2M266
42.95,CMH32GX4M2Z3600C18
32.25,F4-4000C18D-64GTZN
259.95,F4-4000C18Q-128GTRG
242.95,CMT64GX4M4E3200C16
263.95,F4-5333C22D-16GVK
168.95,F4-4600C20D-32GTRS
220.95,KF436C16RBAK2/16
262.95,KF432C16BBAK4/32
512.95,KF432C16BBK2/8
204.95,KF437C19BB1AK2/32
215.95,4XTXU16G2M266
117.95,KF432C16BBA/8
271.95,KF432C16BBK4/16
511.95,KF440C19RB/8
334.95,KF432C16BB1AK2/32
168.95,KF432C16BB/32
201.95,CMT32GX4M2Z4000C18
90.95,CMN32GX4M2Z4600C18
155.95,CMH64GX4M2E3200C16
73.5,F4-3600C14D-32GTZNA
159.95,CT16G48C40U5
40.5,KVR48U40BS8-16
31.25,F5-5600J4040C16GX2-TZ5K
101.95,F5-6000J4040F16GX2-TZ5
42.95,F5-6000J3636F16GX2-TZ5K
133.95,F5-5200J3636C16GX2-TZ5RK
103.95,F5-5600J4040C16GX2-TZ5RS
274.95,CMT32GX5M2B5600C36W
253.95,F5-5600J3036D16GX2-RS5W
229.95,F5-5600J3036D32GX2-RS5K
356.95,F5-6600J3440G16GX2-TZ5RS
85.95,CMT128GX4M4E3200C16
76.95,F4-3600C14Q-64GTESA
177.95,KF560C32RSAK2-32
194.95,CMH32GX5M2B6200C36
194.95,F5-6000J3238G32GX2-TZ5RK
197.95,TXU8G1M3600C18X
197.95,KF556C36BBEA-16
224.95,CMK64GX5M2B5600Z40
175.95,F5-5600J3036D16GX2-TZ5N
339.95,CMH64GX5M2B5200Z40K
318.95,F5-5600J3636D32GX2-FX5
578.95,F5-5200J3636D32GX2-FX5
675.95,CMH32GX5M2X7000C34
314.95,CMT64GX5M2B6000C40
229.95,CMH64GX5M2B5200C40W
516.95,KF560C36BBEAK2-64
25.25,CMT64GX5M4B6200C32
96.5,CMK192GX5M4B5200C38
324.95,CMK32GX5M2B6800C40
248.95,CMK32GX5M2B6400C36
334.95,CMH96GX5M2B5600C40
390.95,CMH96GX5M2B5200C38
374.95,CMT32GX5M2E6200C36
356.95,CMH32GX5M2X7000C34
439.95,KF556C36BWEAK2-64
334.95,F5-5600J4040D48GX2-FX5
366.95,CP2K32G4DFRA32A
525.95,CMK64GX5M2B5600C36
841.95,CMK64GX5M2B6000C40W
255.95,CMH48GX5M2E6000Z36
189.95,F5-6400J3239F24GX2-TZ5RK
489.95,F5-6800J3446F24GX2-TZ5RK
481.95,F5-6800J3446F24GX2-TZ5RK
219.95,F5-6800J3446F24GX2-TZ5RK
590.95,F5-6800J3446F24GX2-TZ5RK
246.95,F5-6800J3446F24GX2-TZ5RK
340.95,F5-6800J3446F24GX2-TZ5RK
139.95,F5-6800J3446F24GX2-TZ5RK
228.95,F5-6800J3446F24GX2-TZ5RK
241.95,F5-6800J3446F24GX2-TZ5RK
202.95,F5-6800J3446F24GX2-TZ5RK
266.95,F5-6800J3446F24GX2-TZ5RK
287.95,F5-6800J3446F24GX2-TZ5RK
