brand,model,benchmark,memory
WD,Black SN850X,538.0,4096
WD,Black SN850X,515.0,2048
WD,Black SN850,497.0,2048
Samsung,990 Pro,492.0,2048
WD,Black SN850X,466.0,1024
Crucial,P5 Plus,450.0,2048
Intel,900P Optane,440.0,280
Intel,900P Optane,440.0,280
Samsung,990 Pro,433.0,1024
Samsung,980 Pro,432.0,2048
Intel,905P Optane,429.0,960
Intel,900P Optane,429.0,480
Intel,900P Optane,429.0,480
WD,Black SN850,426.0,1024
Crucial,P5 Plus,391.0,1024
Samsung,980 Pro,386.0,1024
WD ,Black SN850,379.0,500
Gigabyte,Aorus,360.0,2048
Sabrent,Rocket 4,359.0,2048
Crucial,P5 Plus,351.0,500
Samsung,970 Evo Plus,342.0,2048
Samsung,970 Evo Plus,342.0,2048
Samsung,980 Pro,341.0,500
Corsair,Force MP600,340.0,2048
Gigabyte,Aorus,339.0,1024
Samsung,970 Pro,327.0,1024
Intel,670p,324.0,2048
Samsung,970 Pro,322.0,512
Sabrent,Rocket 4,317.0,1024
WD,Black SN770,316.0,250
Corsair,Force MP600,314.0,1024
Samsung,970 Evo Plus,310.0,1024
Samsung,970 Evo Plus,310.0,1024
Crucial,P5,302.0,2048
HP,EX950,300.0,2048
Samsung,970 Evo,297.0,1024
Samsung,970 Evo,290.0,2048
Crucial,P5,287.0,1024
HP,EX950,284.0,1024
Samsung,960 Pro,279.0,1024
Adata,XPG SX8200 Pro,279.0,1024
WD,Black SN750,277.0,1024
SanDisk,Extreme Pro,276.0,1024
Samsung,970 Evo Plus,276.0,500
Samsung,970 Evo Plus,276.0,500
Intel,800p,275.0,118
Sabrent,Rocket 4,274.0,500
Samsung,970 Evo,273.0,500
Adata,XPG SX8200 Pro,271.0,2048
Samsung,960 Pro,271.0,2048
Samsung,980 Pro,270.0,250
HP,EX920,267.0,1024
Samsung,960 Pro,266.0,512
WD,Black SN750,263.0,2048
Intel,800p,263.0,58
WD,Black,262.0,1024
Samsung,980,260.0,1024
Intel,670p,259.0,1024
Seagate,FireCuda 510,259.0,2048
Crucial,P5,256.0,500
HP,EX950,255.0,512
WD,Black SN750 SE,247.0,1024
Sabrent,Rocket,247.0,4096
SanDisk,Extreme Pro,244.0,500
Adata,XPG SX8200,244.0,960
WD,Black SN750,244.0,500
Adata,XPG SX8200 Pro,242.0,512
Samsung,960 Evo,241.0,1024
Samsung,PM981,239.0,1024
Samsung,SM961,238.0,512
Corsair,Force,236.0,2048
Samsung,970 Evo,235.0,250
Samsung,970 Evo Plus,234.0,250
Samsung,970 Evo Plus,234.0,250
WD,Black,233.0,500
Seagate,FireCuda 510,233.0,1024
Sabrent,Rocket,232.0,2048
WD,Black SN750 SE,230.0,500
Corsair,Force,230.0,960
HP,EX920,229.0,512
WD,Blue SN550,228.0,1024
Intel,760p Series,228.0,512
Samsung,980,226.0,500
Samsung,PM961,225.0,1024
Samsung,950,223.0,512
Crucial,P5,222.0,250
Mushkin,Pilot,221.0,500
Sabrent,Rocket,219.0,1024
Intel,660p,217.0,2048
Samsung,PM981,217.0,512
Crucial,P2,217.0,2048
Adata,XPG SX8200,216.0,480
Samsung,960 Evo,213.0,500
Adata,XPG SX8200 Pro,213.0,256
Crucial,P1,212.0,1024
XPG,Gammix S11,208.0,480
Intel,DC P3700 Series,208.0,400
Samsung,SM951,205.0,512
WD,Blue SN550,204.0,500
Adata,XPG SX6000 Pro,203.0,1024
WD,Black SN750,201.0,250
Crucial,P2,200.0,1024
WD,Black SN750 SE,200.0,250
Samsung,950,199.0,256
Samsung,960 Evo,199.0,250
Corsair,Force,198.0,480
Plextor,M8Pe,196.0,512
Samsung,980,196.0,250
Samsung,PM961,196.0,512
Plextor,M8Pe,193.0,1024
Adata,XPG SX6000 Pro,193.0,512
WD,Black,193.0,250
Crucial,P2,191.0,500
Intel,660p,191.0,1024
Intel,760p Series,190.0,256
Corsair,Neutron NX500,190.0,800
WD,Blue SN500,189.0,500
Nvme,Rocket,187.0,512
Intel,750 Series,186.0,400
Intel,750 Series,186.0,400
Samsung,SM951 AHCI,185.0,512
Zotac,Sonix,184.0,480
HP,EX900,184.0,1024
Samsung,SM951,183.0,256
HP,EX900,183.0,500
Intel,Optane+,181.0,500
Intel,Optane+,181.0,128
Plextor,M8Pe,180.0,256
HP,EX920,179.0,256
Corsair,Neutron NX500,179.0,400
Crucial,P1,179.0,500
Samsung,PM961,177.0,256
Adata,XPG SX6000 Pro,177.0,256
Samsung,PM961,176.0,128
Samsung,SM951 AHCI,175.0,256
Toshiba,OCZ RD400,174.0,256
Mushkin,Pilot,172.0,250
Kingston,KC1000,171.0,960
Samsung,SM951,171.0,128
Toshiba,XG5,171.0,1024
Crucial,P2,171.0,250
WD,Blue SN550,168.0,250
Samsung,SM951 AHCI,165.0,128
WD,Blue SN500,164.0,250
Kingston,KC1000,164.0,480
HP,EX900,163.0,250
Corsair,Force,162.0,240
Intel,DC P3600 Series,162.0,400
Apple,SM0512G,162.0,500
Toshiba,THNSN5512GPU7,160.0,512
XPG,Gammix S11,158.0,240
Corsair,Force MP500,158.0,480
Intel,660p,156.0,512
Samsung,PM951,155.0,512
OCZ,RevoDrive 350,155.0,960
Patriot,Hellfire,154.0,480
MyDigitalSSD,BPX,154.0,480
Adata,XPG SX8200,153.0,240
Sabrent,Rocket,152.0,256
Adata,XPG SX8000,152.0,512
Corsair,Force MP500,151.0,240
Toshiba,THNSN5128GPU7,150.0,128
Apple,S56G,149.0,251
MyDigitalSSD,BPX,149.0,240
Toshiba,THNSN5256GPU7,148.0,256
Mushkin,Pilot,148.0,120
Plextor,M8Se,145.0,1024
Plextor,M8Se,145.0,1024
Plextor,M8Se,145.0,1024
Toshiba,XG5,145.0,512
Plextor,M8Se,145.0,512
Plextor,M8Se,145.0,512
Plextor,M8Se,145.0,512
Kingston,HyperX Predator AHCI,144.0,480
Plextor,M8Pe,143.0,128
Adata,XPG SX8000,143.0,256
Patriot,Hellfire,142.0,240
Samsung,PM951,140.0,512
HP,EX900,139.0,120
OCZ,RevoDrive 350,139.0,480
MyDigitalSSD,BPX,138.0,120
Plextor,M8Se,137.0,256
Plextor,M8Se,137.0,256
Plextor,M8Se,137.0,256
Kingston,KC1000,136.0,240
Kingston,A1000,134.0,480
Samsung,XP941,133.0,256
Intel,760p Series,132.0,128
Kingston,HyperX Predator AHCI,131.0,240
WD,Black,131.0,512
Kingston,A1000,130.0,960
Corsair,Force MP500,128.0,120
Intel,600p Series,128.0,512
Samsung,XP941,128.0,512
Adata,XPG SX6000,128.0,1024
Adata,XPG SX7000,126.0,512
MyDigitalSSD,SBX,126.0,512
Toshiba,XG5,125.0,256
Adata,XPG SX6000,123.0,512
Toshiba, THNSN5512GPUK,122.0,512
WD,Black,121.0,256
Samsung,PM951,120.0,256
Plextor,M6e,120.0,512
Adata,XPG SX6000,119.0,256
Samsung,870 EVO,118.0,4096
Intel,Pro 6000p,117.0,512
Plextor,M6e,117.0,256
Plextor,M8Se,116.0,128
Plextor,M8Se,116.0,128
Plextor,M8Se,116.0,128
Intel,600p Series,116.0,256
MyDigitalSSD,SBX,116.0,1024
Adata,XPG SX8000,115.0,128
Samsung,870 EVO,115.0,2048
Adata,XPG SX6000,113.0,128
Samsung,860 Evo,113.0,4096
Samsung,850 Evo,113.0,4096
Samsung,860 Evo,113.0,2048
Plextor,M6e,112.0,256
Samsung,860 Evo,112.0,1024
Samsung,860 Pro,112.0,1024
Samsung,850 Evo,112.0,500
Samsung,870 EVO,112.0,1024
Samsung,850 Evo,112.0,2048
Samsung,860 Pro,111.0,4096
Samsung,850 Evo,110.0,1024
Corsair,Force MP300,110.0,240
Mushkin,Scorpion Deluxe,110.0,240
MyDigitalSSD,SBX,110.0,256
Adata,XPG SX7000,110.0,256
Plextor,M6e,110.0,128
Samsung,860 Pro,110.0,512
Samsung,XP941,110.0,128
Samsung,860 Pro,109.0,256
Toshiba, THNSN5256GPUK,109.0,256
Kingston,A1000,108.0,240
Samsung,850 Pro,108.0,2048
Crucial,MX500,108.0,2048
Intel,545s Series,107.0,512
Adata,Ultimate SU800,106.0,2048
Crucial,MX500,106.0,1024
Samsung,MZFLV512,106.0,512
Crucial,MX500,106.0,500
Transcend,MTE820,106.0,256
Samsung,860 Evo,105.0,500
Samsung,840 Evo,105.0,1024
Samsung,870 QVO,105.0,4096
Samsung,870 QVO,105.0,4096
Samsung,850 Pro,105.0,1024
Samsung,870 QVO,104.0,8192
Samsung,870 QVO,104.0,8192
Gigabyte,,104.0,256
Samsung,870 EVO,104.0,500
Intel,Pro 6000p,104.0,256
Adata,Ultimate SU800,104.0,1024
Samsung,840 Evo,104.0,750
Adata,Ultimate SU800,104.0,512
Samsung,860 Evo,104.0,250
Samsung,850 Evo,103.0,250
Samsung,840 Evo,103.0,500
Samsung,870 Evo,103.0,250
Samsung,750 EVO,103.0,500
Crucial,BX300,102.0,480
Samsung,870 QVO,102.0,2048
Samsung,870 QVO,102.0,2048
Samsung,850 Pro,102.0,256
Samsung,850 Pro,102.0,512
Samsung,860 QVO,102.0,4096
Samsung,860 QVO,102.0,4096
Crucial,MX500,101.0,250
HP,S700 Pro,100.0,512
Samsung,840 Evo mSATA,100.0,1024
Corsair,Force MP300,99.9,120
WD,Blue,99.8,1024
SanDisk,Ultra,99.7,2048
Crucial,MX500,99.5,4096
SanDisk,Ultra,99.1,500
Samsung,850 Pro,98.7,128
Crucial,00 SATA,98.5,500
SanDisk,Ultra,98.5,1024
WD,Blue  SATA,98.0,1024
Intel,Pro 6000p,97.9,360
Samsung,860 QVO,97.9,2048
Samsung,860 QVO,97.9,2048
Intel,600p Series,97.5,128
Toshiba,OCZ VT180,97.1,960
WD,Blue,96.9,2048
WD,Blue  SATA,96.8,500
WD,Blue,96.7,500
Samsung,840 Pro,96.3,512
HP,S700 Pro,96.2,1024
Samsung,850 Evo,96.0,120
Crucial,00 SATA,96.0,250
Intel,730 Series,95.9,480
Samsung,840 Evo,95.9,250
Intel,545s Series,95.5,256
OCZ,Vector 150,95.2,480
Samsung,840 Pro,95.0,256
Crucial,00,94.8,250
Samsung,840 Evo mSATA,94.7,500
Samsung,870 QVO,94.6,1024
Samsung,870 QVO,94.6,1024
Crucial,BX300,94.5,240
Samsung,750 EVO,94.4,250
Mushkin,Scorpion Deluxe,94.1,480
Plextor,M6 Pro,94.1,256
OCZ,Vector,93.9,512
Toshiba,OCZ VT180,93.9,240
Crucial,BX100,93.8,1024
Plextor,M6 Pro,93.8,512
SanDisk,Extreme Pro,93.6,960
Corsair,Neutron XT,93.4,960
MyDigitalSSD,SBX,93.3,128
SanDisk,Extreme Pro,93.2,480
OCZ,RevoDrive 3 X2,93.1,480
Plextor,M6V,92.9,512
PNY,CS1311,92.7,960
Samsung,750 EVO,92.7,120
OCZ,Vector,92.6,256
Toshiba,OCZ VT180,92.5,480
Crucial,M550 SATA,92.5,256
Crucial,M550,92.5,512
Crucial,M550 SATA,92.4,512
PNY,CS2211,92.2,480
PNY,CS2211,92.2,480
OCZ,Vector 180,92.1,960
HP,S700 Pro,92.1,256
OCZ,Vertex 460A,92.1,240
SanDisk,Extreme Pro,91.7,240
SanDisk,Extreme II,91.6,480
Crucial,BX100,91.6,500
Crucial,MX300,91.4,1024
Samsung,840 Evo,91.4,120
OCZ,Vector 180,91.1,480
OCZ,Vertex 4,90.8,256
Corsair,Neutron XT,90.7,240
OCZ,Vertex 460A,90.7,480
Adata,Ultimate SU800,90.7,256
PNY,CS2211,90.6,960
PNY,CS2211,90.6,960
Patriot,Ignite,90.5,480
Crucial,M550,90.5,256
Corsair,Force LX,90.4,512
Toshiba, THNSN5128GPUK,90.4,128
Crucial,M550,90.4,1024
OCZ,AMD Radeon R7,90.3,480
HyperX,Savage,90.3,960
OCZ,Vertex 460,90.3,240
Toshiba,Q300 Pro,90.3,512
OCZ,Vertex 4,90.2,512
OCZ,Vector 180,90.2,240
Crucial,MX300 SATA,90.1,1024
SanDisk,Extreme II,90.1,240
Mushkin,Reactor,89.9,512
Samsung,MZFLV256,89.9,256
Zotac,Premium Edition,89.7,480
Micron,M600,89.6,256
Samsung,840 Pro,89.5,128
Adata,Premier SP610,89.5,1024
Transcend,370S,89.4,256
Intel,Pro 6000p,89.3,128
HyperX,Savage,89.3,240
Toshiba,OCZ VX500,89.3,512
Mushkin,Striker,89.2,960
PNY,2SC240G5SA754D117-511,89.2,240
Crucial,MX300,89.1,750
OCZ,Vector 150,89.0,240
Plextor,M6S,88.9,256
Samsung,840 Evo mSATA,88.9,250
Samsung,860 QVO,88.9,1024
Samsung,860 QVO,88.9,1024
Corsair,Neutron XTi,88.8,240
Plextor,M5 Pro,88.6,512
Kingston,Now KC400,88.6,1024
OCZ,AMD Radeon R7,88.6,240
OCZ,Trion 150,88.5,960
Mushkin,Reactor,88.5,1024
Gigabyte,,88.5,128
Plextor,M5 Pro,88.5,256
Adata,XPG SX930,88.4,120
OCZ,Vertex 4,88.3,128
OCZ,Saber 1000,88.1,240
Crucial,00 mSATA,87.9,250
Crucial,MX100,87.6,512
Patriot,Ignite,87.6,240
PNY,CS2211,87.5,240
PNY,CS2211,87.5,240
Plextor,M6 Pro,87.5,128
Crucial,M550 mSATA,87.4,256
OCZ,Vertex 460,87.4,480
Crucial,M550 mSATA,87.3,512
Intel,S3500 Series,87.2,800
Plextor,M6V,87.2,256
OCZ,ARC 100,87.0,240
Adata,Premier SP610,86.9,512
Plextor,M6S,86.9,512
WD,Blue,86.9,1024
OCZ,AGILITY3,86.8,256
Crucial,00 mSATA,86.7,500
Crucial,BX100,86.6,250
Transcend,370,86.6,1024
Adata,XPG SX930,86.5,240
OCZ,AMD Radeon R7,86.5,120
Crucial,BX300,86.5,120
OCZ,Vertex 450,86.4,256
HP,S700 Pro,86.4,128
Toshiba,HG6,86.4,256
WD,Blue,86.4,500
Patriot,Ignite,86.4,960
PNY,CS1311,86.3,480
SanDisk,Ultra II,86.2,480
OCZ,Vertex 460A,86.1,120
OCZ,ARC 100,86.1,480
WD,Blue,86.0,250
Toshiba,OCZ VT180,85.8,120
Kingston,Now KC400,85.8,512
Crucial,MX300,85.8,525
HyperX,Savage,85.6,120
OCZ,Vector 180,85.6,120
Crucial,M550,85.6,128
Plextor,M6S,85.5,128
SanDisk,Ultra,85.4,250
Toshiba,Q Series Pro,85.3,256
Toshiba,Q Series Pro,85.3,256
Toshiba,Q Series Pro,85.3,256
OCZ,Vector,85.3,128
Crucial,M550 SATA,85.3,128
SanDisk,X400,85.2,1024
OCZ,Trion 150,85.1,480
Transcend,MTS800,84.9,512
Intel,S3500 Series,84.8,480
WD,Blue SATA,84.8,1024
SanDisk,Extreme II,84.8,120
Samsung,MZ7PD256HAFV-000H7,84.8,256
Zotac,Premium Edition,84.8,240
WD,Blue  SATA,84.7,250
Crucial,MX300 SATA,84.6,525
SanDisk,Ultra II,84.5,960
Kingston,Now KC400,84.5,256
Micron,M600 SATA,84.5,256
Transcend,370,84.5,512
Seagate,600,84.5,480
Samsung,840 Evo mSATA,84.5,120
Corsair,Neutron GTX,84.4,480
Toshiba,OCZ VX500,84.3,256
Samsung,"SM841 2.5"" 7mm",84.2,512
Transcend,MTS600,84.0,512
Intel,730 Series,83.9,240
Apple,S56F,83.8,251
Mushkin,ECO3,83.8,480
SanDisk,X400,83.8,512
Crucial,M500,83.8,960
OCZ,ARC 100,83.8,120
Plextor,M5 Pro,83.8,128
Gigabyte,UD PRO,83.7,512
Crucial,00,83.7,1024
Gigabyte,UD PRO,83.6,256
PNY,CS900,83.6,960
Mushkin,Striker,83.5,480
SanDisk,X210,83.5,512
Toshiba,HG5d Q Series,83.3,512
Toshiba,HG5d Q Series,83.3,512
Toshiba,HG5d Q Series,83.3,512
Liteonit,LCS-256L9S-11 2.5 7m,83.3,56
Samsung,SM841N 2.5 7m,83.2,56
Crucial,00,83.1,500
Crucial,M500,83.0,480
Liteonit,LCS-256M6S 2.5 7m,83.0,56
OCZ,Vertex 460,83.0,120
Crucial,MX100,82.8,256
Crucial,BX200,82.7,960
Liteonit,LCS-512M6S 2.5 7mm,82.6,512
Apple,SM0512F,82.6,500
Seagate,600,82.5,240
Plextor,PX-256M5S,82.4,256
Mushkin,Triactor,82.4,480
Toshiba,OCZ VX500,82.4,128
Toshiba,Q Series Pro,82.3,128
Toshiba,Q Series Pro,82.3,128
OCZ,Vector 150,82.2,120
SanDisk,Ultra II,82.2,240
Corsair,Force LX,82.2,256
Samsung,"SM841 2.5"" 7m",82.2,56
WD,Blue SATA,82.2,500
Mushkin,ECO3,82.0,240
Adata,Premier SP610,82.0,256
SanDisk,X300s Non-Secure,81.9,256
Corsair,Performance Pro,81.8,256
Toshiba,HG5d Q Series,81.7,256
Toshiba,HG5d Q Series,81.7,256
PNY,Optima,81.7,240
PNY,Optima,81.7,240
Kingston,Now KC400,81.7,128
Intel,540s Series,81.7,480
Toshiba,THNSNS Series,81.6,240
Adata,Premier SP550,81.6,960
Adata,Premier SP550,81.6,480
SanDisk,X210,81.5,256
Plextor,PX-256M,81.5,656
SanDisk,Ultra Plus,81.4,256
Samsung,MZ7PD128HAFV-000,81.2,128
Toshiba,THNSNH512GCST,81.1,512
Corsair,Neutron GTX,81.0,240
PNY,CS1311,81.0,240
Corsair,Force LE,80.9,240
Toshiba,Q300 Pro,80.8,128
Plextor,PX-256M3P,80.8,256
Kingston,HyperX 3K,80.6,240
WD,Blue SATA,80.6,250
Intel,540s Series,80.5,1024
HyperX,Savage,80.4,480
Toshiba,HG5d Q Series,80.3,128
Toshiba,HG5d Q Series,80.3,128
Toshiba,HG5d Q Series,80.3,128
Adata,Premier Pro SP920,80.3,512
Mushkin,Reactor,80.3,256
Toshiba,Q300,80.2,480
Toshiba,Q300,80.2,480
Crucial,MX300 SATA,80.2,275
Adata,SP600,80.0,256
Transcend,370,80.0,256
Transcend,MTS600,79.9,256
Micron,M500DC,79.8,480
Toshiba,Q300 Pro,79.6,256
WD,Blue,79.5,250
Crucial,MX300,79.4,275
PNY,CS900,79.3,480
Corsair,Neutron,79.2,256
Intel,535 Series,79.2,240
SanDisk,X110,79.1,256
Plextor,M5M mSATA,79.1,256
Adata,Premier Pro SP920,79.0,256
SanDisk,X300s SATA,79.0,512
Transcend,MTS400,78.9,256
Transcend,MTS800,78.9,256
OCZ,Trion 150,78.9,240
Samsung,SM841 mSATA,78.9,256
Corsair,Force GS,78.9,240
Toshiba,HG6,78.8,128
Intel,S3500 Series,78.8,300
PNY,2SC120G709A104-432278,78.8,120
SanDisk,X100,78.7,512
Liteonit,LMT-256,78.6,256
SanDisk,X300,78.5,256
Adata,Premier SP550,78.5,240
Transcend,340,78.5,256
Intel,520 Series,78.4,240
Plextor,M3,78.4,256
Kingston,Now KC300,78.3,240
Mushkin,Striker,78.3,240
Corsair,Neutron GTX,78.2,120
Liteonit,LCS-128L9S-11 2.5 7mm,78.2,128
Seagate,600 Pro,78.2,240
Plextor,PX-128M5,78.1,128
Corsair,Force GT,78.1,240
Samsung,"SM841 2.5"" 7mm",78.0,128
Geil,Zenith A3,78.0,240
Plextor,PX-128M3P,77.8,128
Liteonit,LMT-256L9M-11 MSATA,77.8,256
Kingston,HyperX,77.7,240
Corsair,Neutron (v0),77.7,240
Samsung,SM841N mSATA,77.7,256
