Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
GPU,,Nvidia,RTX 4090,1,370,14057,https://gpu.userbenchmark.com/Nvidia-RTX-4090/Rating/4136
GPU,GV-N4090GAMING OC-24GD,Gigabyte,Gigabyte RTX 4090 24GB Gaming OC,1,370,14057,https://gpu.userbenchmark.com/Nvidia-RTX-4090/Rating/4136
GPU,TUF-RTX4090-24G-GAMING,Asus,Asus RTX 4090 24GB TUF Gaming OC,1,370,14057,https://gpu.userbenchmark.com/Nvidia-RTX-4090/Rating/4136
GPU,GeForce RTX 4090 GAMING X TRIO 24G,MSI,MSI RTX 4090 24GB Gaming X Trio,1,370,14057,https://gpu.userbenchmark.com/Nvidia-RTX-4090/Rating/4136
GPU,RTX 4090 SUPRIM Liquid X 24G,MSI,MSI RTX 4090 24GB Suprim Liquid X,1,370,14057,https://gpu.userbenchmark.com/Nvidia-RTX-4090/Rating/4136
GPU,RTX 4090 SUPRIM X 24G,MSI,MSI RTX 4090 24GB Suprim X,1,370,14057,https://gpu.userbenchmark.com/Nvidia-RTX-4090/Rating/4136
GPU,,Nvidia,RTX 4080,2,290,12376,https://gpu.userbenchmark.com/Nvidia-RTX-4080/Rating/4138
GPU,RTX 4080 16GB GAMING X TRIO,MSI,MSI RTX 4080 16GB Gaming X Trio,2,290,12376,https://gpu.userbenchmark.com/Nvidia-RTX-4080/Rating/4138
GPU,GV-N4080GAMING OC-16GD,Gigabyte,Gigabyte RTX 4080 16GB Gaming OC,2,290,12376,https://gpu.userbenchmark.com/Nvidia-RTX-4080/Rating/4138
GPU,ZT-D40810B-10P,Zotac,Zotac RTX 4080 16GB AMP Extreme,2,290,12376,https://gpu.userbenchmark.com/Nvidia-RTX-4080/Rating/4138
GPU,G408016SX,MSI,MSI RTX 4080 16GB Suprim X,2,290,12376,https://gpu.userbenchmark.com/Nvidia-RTX-4080/Rating/4138
GPU,RTX 4080 16GB VENTUS 3X OC,MSI,MSI RTX 4080 16GB Ventus 3X,2,290,12376,https://gpu.userbenchmark.com/Nvidia-RTX-4080/Rating/4138
GPU,TUF-RTX4080-O16G-GAMING,Asus,Asus RTX 4080 16GB TUF Gaming OC,2,290,12376,https://gpu.userbenchmark.com/Nvidia-RTX-4080/Rating/4138
GPU,,AMD,RX 7900-XTX,3,256,856,https://gpu.userbenchmark.com/AMD-RX-7900-XTX/Rating/4142
GPU,,Nvidia,RTX 4070-Ti,4,238,25467,https://gpu.userbenchmark.com/Nvidia-RTX-4070-Ti/Rating/4146
GPU,RTX 4070 Ti GAMING X TRIO 12G,MSI,MSI RTX 4070 Ti 12GB Gaming X Trio,4,238,25467,https://gpu.userbenchmark.com/Nvidia-RTX-4070-Ti/Rating/4146
GPU,GeForce RTX 4070 Ti VENTUS 3X 12G OC,MSI,MSI RTX 4070 Ti 12GB Ventus 3X,4,238,25467,https://gpu.userbenchmark.com/Nvidia-RTX-4070-Ti/Rating/4146
GPU,ZT-D40710D-10P,Zotac,Zotac RTX 4070 Ti 12GB Trinity,4,238,25467,https://gpu.userbenchmark.com/Nvidia-RTX-4070-Ti/Rating/4146
GPU,ZT-D40710J-10P,Zotac,Zotac RTX 4070 Ti 12GB Trinity,4,238,25467,https://gpu.userbenchmark.com/Nvidia-RTX-4070-Ti/Rating/4146
GPU,TUF-RTX4070TI-O12G-GAMING,Asus,Asus RTX 4070 Ti 12GB TUF Gaming OC,4,238,25467,https://gpu.userbenchmark.com/Nvidia-RTX-4070-Ti/Rating/4146
GPU,GV-N407TEAGLE OC-12GD,Gigabyte,Gigabyte RTX 4070 Ti 12GB Eagle OC,4,238,25467,https://gpu.userbenchmark.com/Nvidia-RTX-4070-Ti/Rating/4146
GPU,TUF-RTX4070TI-12G-GAMING,Asus,Asus RTX 4070 Ti 12GB TUF Gaming,4,238,25467,https://gpu.userbenchmark.com/Nvidia-RTX-4070-Ti/Rating/4146
GPU,GV-N407TGAMING OC-12GD,Gigabyte,Gigabyte RTX 4070 Ti 12GB 3X OC,4,238,25467,https://gpu.userbenchmark.com/Nvidia-RTX-4070-Ti/Rating/4146
GPU,,AMD,RX 7900-XT,6,220,720,https://gpu.userbenchmark.com/AMD-RX-7900-XT/Rating/4141
GPU,,Nvidia,RTX 3090,8,210,158856,https://gpu.userbenchmark.com/Nvidia-RTX-3090/Rating/4081
GPU,ROG-STRIX-RTX3090-O24G-GAMING,Asus,Asus RTX 3090 24GB ROG Strix,8,210,158856,https://gpu.userbenchmark.com/Nvidia-RTX-3090/Rating/4081
GPU,TUF-RTX3090-O24G-GAMING,Asus,Asus RTX 3090 24GB Tuf OC,8,210,158856,https://gpu.userbenchmark.com/Nvidia-RTX-3090/Rating/4081
GPU, RTX 3090 GAMING X TRIO 24G,MSI,MSI RTX 3090 24GB Gaming X Trio OC,8,210,158856,https://gpu.userbenchmark.com/Nvidia-RTX-3090/Rating/4081
GPU,ZT-A30900J-10P,Zotac,Zotac RTX 3090 24GB Trinity OC,8,210,158856,https://gpu.userbenchmark.com/Nvidia-RTX-3090/Rating/4081
GPU,24G-P5-3987-KR,EVGA,EVGA RTX 3090 24GB XC3 Ultra Gaming,8,210,158856,https://gpu.userbenchmark.com/Nvidia-RTX-3090/Rating/4081
GPU,GeForce RTX 3090 VENTUS 3X 24G OC,MSI,MSI RTX 3090 24GB Ventus 3X OC,8,210,158856,https://gpu.userbenchmark.com/Nvidia-RTX-3090/Rating/4081
GPU,,Nvidia,RTX 3080-Ti,9,204,155335,https://gpu.userbenchmark.com/Nvidia-RTX-3080-Ti/Rating/4115
GPU,12G-P5-3967-KR,EVGA,EVGA RTX 3080 Ti 12GB FTW3 Ultra Gaming,9,204,155335,https://gpu.userbenchmark.com/Nvidia-RTX-3080-Ti/Rating/4115
GPU,TUF-RTX3080TI-O12G-GAMING,Asus,Asus RTX 3080 Ti 12GB Tuf OC,9,204,155335,https://gpu.userbenchmark.com/Nvidia-RTX-3080-Ti/Rating/4115
GPU,GV-N308TGAMING OC-12GD,Gigabyte,Gigabyte RTX 3080 Ti 12GB Gaming OC,9,204,155335,https://gpu.userbenchmark.com/Nvidia-RTX-3080-Ti/Rating/4115
GPU,RTX 3080 Ti Gaming X Trio 12G,MSI,MSI RTX 3080 Ti 12GB Gaming X Trio OC,9,204,155335,https://gpu.userbenchmark.com/Nvidia-RTX-3080-Ti/Rating/4115
GPU,GeForce RTX 3080 Ti VENTUS 3X 12G OC,MSI,MSI RTX 3080 Ti 12GB Ventus 3X OC,9,204,155335,https://gpu.userbenchmark.com/Nvidia-RTX-3080-Ti/Rating/4115
GPU,12G-P5-3955-KR,EVGA,EVGA RTX 3080 Ti 12GB XC3 Ultra Gaming,9,204,155335,https://gpu.userbenchmark.com/Nvidia-RTX-3080-Ti/Rating/4115
GPU,ZT-A30810J-10P,Zotac,Zotac RTX 3080 Ti 12GB Trinity OC,9,204,155335,https://gpu.userbenchmark.com/Nvidia-RTX-3080-Ti/Rating/4115
GPU,ROG-STRIX-RTX3080TI-O12G-GAMING,Asus,Asus RTX 3080 Ti 12GB ROG Strix OC,9,204,155335,https://gpu.userbenchmark.com/Nvidia-RTX-3080-Ti/Rating/4115
GPU,GV-N308TVISION OC-12GD,Gigabyte,Gigabyte RTX 3080 Ti 12GB Vision OC,9,204,155335,https://gpu.userbenchmark.com/Nvidia-RTX-3080-Ti/Rating/4115
GPU,GeForce RTX 3080 Ti SUPRIM X 12G,MSI,MSI RTX 3080 Ti 12GB Suprim X,9,204,155335,https://gpu.userbenchmark.com/Nvidia-RTX-3080-Ti/Rating/4115
GPU,GV-N308TAORUS M-12GD,Gigabyte,Gigabyte RTX 3080 Ti 12GB Aorus Master,9,204,155335,https://gpu.userbenchmark.com/Nvidia-RTX-3080-Ti/Rating/4115
GPU,GV-N308TEAGLE-12GD,Gigabyte,Gigabyte RTX 3080 Ti 12GB Eagle,9,204,155335,https://gpu.userbenchmark.com/Nvidia-RTX-3080-Ti/Rating/4115
GPU,,Nvidia,RTX 4070,11,196,1,https://gpu.userbenchmark.com/Nvidia-RTX-4070/Rating/4148
GPU,,AMD,RX 6900-XT,12,195,17408,https://gpu.userbenchmark.com/AMD-RX-6900-XT/Rating/4091
GPU,,Nvidia,RTX 3080,14,187,424051,https://gpu.userbenchmark.com/Nvidia-RTX-3080/Rating/4080
GPU,RTX 3080 Ventus 3X Plus 10G OC LHR,MSI,MSI RTX 3080 10GB Ventus 3X OC,14,187,424051,https://gpu.userbenchmark.com/Nvidia-RTX-3080/Rating/4080
GPU,GV-N3080GAMING OC-10GD-V2,Gigabyte,Gigabyte RTX 3080 10GB Gaming OC,14,187,424051,https://gpu.userbenchmark.com/Nvidia-RTX-3080/Rating/4080
GPU,GV-N3080VISION OC-10GD 2.0,Gigabyte,Gigabyte RTX 3080 10GB Vision OC,14,187,424051,https://gpu.userbenchmark.com/Nvidia-RTX-3080/Rating/4080
GPU,TUF-RTX3080-O10G-V2-GAMING,Asus,Asus RTX 3080 10GB Tuf OC,14,187,424051,https://gpu.userbenchmark.com/Nvidia-RTX-3080/Rating/4080
GPU,ZT-A30800J-10PLHR,Zotac,Zotac RTX 3080 10GB Trinity OC,14,187,424051,https://gpu.userbenchmark.com/Nvidia-RTX-3080/Rating/4080
GPU,10G-P5-3897-KR,EVGA,EVGA RTX 3080 10GB FTW3 Ultra Gaming,14,187,424051,https://gpu.userbenchmark.com/Nvidia-RTX-3080/Rating/4080
GPU,GV-N3080AORUS X-10GD REV2.0,Gigabyte,Gigabyte RTX 3080 10GB Aorus Master,14,187,424051,https://gpu.userbenchmark.com/Nvidia-RTX-3080/Rating/4080
GPU,RTX 3080 Gaming Z Trio 10G LHR,MSI,MSI RTX 3080 10GB Gaming Z Trio,14,187,424051,https://gpu.userbenchmark.com/Nvidia-RTX-3080/Rating/4080
GPU,,AMD,RX 6800-XT,16,171,26404,https://gpu.userbenchmark.com/AMD-RX-6800-XT/Rating/4089
GPU,,Nvidia,RTX 3070-Ti,20,158,166179,https://gpu.userbenchmark.com/Nvidia-RTX-3070-Ti/Rating/4116
GPU,TUF-RTX3070TI-O8G-GAMING,Asus,Asus RTX 3070 Ti 8GB Tuf OC,20,158,166179,https://gpu.userbenchmark.com/Nvidia-RTX-3070-Ti/Rating/4116
GPU,GV-N307TGAMING OC-8GD,Gigabyte,Gigabyte RTX 3070 Ti 8GB Gaming OC,20,158,166179,https://gpu.userbenchmark.com/Nvidia-RTX-3070-Ti/Rating/4116
GPU,08G-P5-3767-KL,EVGA,EVGA RTX 3070 Ti 8GB FTW3 Ultra Gaming,20,158,166179,https://gpu.userbenchmark.com/Nvidia-RTX-3070-Ti/Rating/4116
GPU,ZT-A30710J-10P,Zotac,Zotac RTX 3070 Ti 8GB Trinity OC,20,158,166179,https://gpu.userbenchmark.com/Nvidia-RTX-3070-Ti/Rating/4116
GPU,RTX 3070 Ti Ventus 3X 8G OC,MSI,MSI RTX 3070 Ti 8GB Ventus 3X OC,20,158,166179,https://gpu.userbenchmark.com/Nvidia-RTX-3070-Ti/Rating/4116
GPU,GVN307TVISIONOC8GD,Gigabyte,Gigabyte RTX 3070 Ti 8GB Vision OC,20,158,166179,https://gpu.userbenchmark.com/Nvidia-RTX-3070-Ti/Rating/4116
GPU,RTX 3070 Ti Suprim X 8G,MSI,MSI RTX 3070 Ti 8GB Suprim X,20,158,166179,https://gpu.userbenchmark.com/Nvidia-RTX-3070-Ti/Rating/4116
GPU,N307T3-086XX-1820VA45,Nvidia,Inno3D RTX 3070 Ti 8GB 3X OC,20,158,166179,https://gpu.userbenchmark.com/Nvidia-RTX-3070-Ti/Rating/4116
GPU,ZT-A30710F-10P,Zotac,Zotac RTX 3070 Ti 8GB AMP Holo,20,158,166179,https://gpu.userbenchmark.com/Nvidia-RTX-3070-Ti/Rating/4116
GPU,,Nvidia,RTX 2080-Ti,21,156,357946,https://gpu.userbenchmark.com/Nvidia-RTX-2080-Ti/Rating/4027
GPU,ZT-T20810D-10P,Zotac,Zotac RTX 2080 Ti 11GB GAMING AMP SPECTRA RGB,21,156,357946,https://gpu.userbenchmark.com/Nvidia-RTX-2080-Ti/Rating/4027
GPU,DUAL-RTX2080TI-O11G,Asus,Asus RTX 2080 Ti 11GB Dual-fan OC,21,156,357946,https://gpu.userbenchmark.com/Nvidia-RTX-2080-Ti/Rating/4027
GPU,RTX 2080 Ti GAMING X TRIO,MSI,MSI RTX 2080 Ti 11GB Gaming,21,156,357946,https://gpu.userbenchmark.com/Nvidia-RTX-2080-Ti/Rating/4027
GPU,GV-N208TGAMING OC-11GC,Gigabyte,Gigabyte RTX 2080 Ti 11GB Gaming OC,21,156,357946,https://gpu.userbenchmark.com/Nvidia-RTX-2080-Ti/Rating/4027
GPU,ROG-STRIX-RTX2080TI-O11G-GAMING,Asus,Asus RTX 2080 Ti 11GB ROG Strix,21,156,357946,https://gpu.userbenchmark.com/Nvidia-RTX-2080-Ti/Rating/4027
GPU,11G-P4-2487-KR,EVGA,EVGA RTX 2080 Ti 11GB FTW3 Ultra Gaming,21,156,357946,https://gpu.userbenchmark.com/Nvidia-RTX-2080-Ti/Rating/4027
GPU,11G-P4-2281-KR,EVGA,EVGA RTX 2080 Ti 11GB Black,21,156,357946,https://gpu.userbenchmark.com/Nvidia-RTX-2080-Ti/Rating/4027
GPU,GV-N208TAORUS X-11GC,Gigabyte,Gigabyte RTX 2080 Ti 11GB Xtreme,21,156,357946,https://gpu.userbenchmark.com/Nvidia-RTX-2080-Ti/Rating/4027
GPU,,Nvidia,RTX 3070,22,148,619642,https://gpu.userbenchmark.com/Nvidia-RTX-3070/Rating/4083
GPU,GV-N3070GAMING OC-8GD REV2.0,Gigabyte,Gigabyte RTX 3070 8GB Gaming OC,22,148,619642,https://gpu.userbenchmark.com/Nvidia-RTX-3070/Rating/4083
GPU,RTX 3070 Ventus 2X 8G OC LHR,MSI,MSI RTX 3070 8GB Ventus 2X OC,22,148,619642,https://gpu.userbenchmark.com/Nvidia-RTX-3070/Rating/4083
GPU,GV-N3070AORUS M-8GD REV2.0,Gigabyte,Gigabyte RTX 3070 8GB Aorus,22,148,619642,https://gpu.userbenchmark.com/Nvidia-RTX-3070/Rating/4083
GPU,RTX 3070 Ventus 3X 8G OC LHR,MSI,MSI RTX 3070 8GB Ventus 3X OC,22,148,619642,https://gpu.userbenchmark.com/Nvidia-RTX-3070/Rating/4083
GPU,GV-N3070VISION OC-8GD,Gigabyte,Gigabyte RTX 3070 8GB Vision OC,22,148,619642,https://gpu.userbenchmark.com/Nvidia-RTX-3070/Rating/4083
GPU,08G-P5-3767-KL,EVGA,EVGA RTX 3070 8GB FTW3 Ultra Gaming,22,148,619642,https://gpu.userbenchmark.com/Nvidia-RTX-3070/Rating/4083
GPU,ZT-A30700H-10PLHR,Zotac,Zotac RTX 3070 8GB Twin Edge OC,22,148,619642,https://gpu.userbenchmark.com/Nvidia-RTX-3070/Rating/4083
GPU,,AMD,RX 6800,23,143,13796,https://gpu.userbenchmark.com/AMD-RX-6800/Rating/4088
GPU,TUF-RX6800-O16G-GAMING,Asus,Asus RX 6800 16GB TUF OC,23,143,13796,https://gpu.userbenchmark.com/AMD-RX-6800/Rating/4088
GPU,,Nvidia,RTX 2080S (Super),28,131,261508,https://gpu.userbenchmark.com/Nvidia-RTX-2080S-Super/Rating/4050
