Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
GPU,GV-N208SGAMING OC-8GC,Gigabyte,Gigabyte RTX 2080 Super 8GB Gaming,28,131,261508,https://gpu.userbenchmark.com/Nvidia-RTX-2080S-Super/Rating/4050
GPU,08GP43183KR,EVGA,EVGA RTX 2080 Super 8GB XC Ultra,28,131,261508,https://gpu.userbenchmark.com/Nvidia-RTX-2080S-Super/Rating/4050
GPU,RTX 2080 Super Gaming X Trio,MSI,MSI RTX 2080 Super 8GB Gaming X,28,131,261508,https://gpu.userbenchmark.com/Nvidia-RTX-2080S-Super/Rating/4050
GPU,ROG-STRIX-RTX2080S-A8G-Gaming,Asus,Asus RTX 2080 Super 8GB ROG Strix A8G,28,131,261508,https://gpu.userbenchmark.com/Nvidia-RTX-2080S-Super/Rating/4050
GPU,ROG-STRIX-RTX2080S-O8G-Gaming,Asus,Asus RTX 2080 Super 8GB ROG Strix O8G,28,131,261508,https://gpu.userbenchmark.com/Nvidia-RTX-2080S-Super/Rating/4050
GPU,RTX 2080 Super Ventus XS OC,MSI,MSI RTX 2080 Super 8GB Ventus XS OC,28,131,261508,https://gpu.userbenchmark.com/Nvidia-RTX-2080S-Super/Rating/4050
GPU,RTX 2080 SUPER VENTUS OC,MSI,MSI RTX 2080 Super 8GB Ventus OC,28,131,261508,https://gpu.userbenchmark.com/Nvidia-RTX-2080S-Super/Rating/4050
GPU,Gv-N208SWF3OC-8GD,Gigabyte,Gigabyte RTX 2080 Super 8GB Windforce,28,131,261508,https://gpu.userbenchmark.com/Nvidia-RTX-2080S-Super/Rating/4050
GPU,08G-P4-3081-KR,EVGA,EVGA RTX 2080 Super 8GB Black Gaming,28,131,261508,https://gpu.userbenchmark.com/Nvidia-RTX-2080S-Super/Rating/4050
GPU,GV-N208SAORUS-8GC,Gigabyte,Gigabyte RTX 2080 Super 8GB Aorus Windforce,28,131,261508,https://gpu.userbenchmark.com/Nvidia-RTX-2080S-Super/Rating/4050
GPU,08G-P4-2083-KR,EVGA,EVGA RTX 2080 Super 8GB KO Dual,28,131,261508,https://gpu.userbenchmark.com/Nvidia-RTX-2080S-Super/Rating/4050
GPU,,Nvidia,RTX 3060-Ti,30,128,388705,https://gpu.userbenchmark.com/Nvidia-RTX-3060-Ti/Rating/4090
GPU,GV-N306TGAMING OC-8GD V2,Gigabyte,Gigabyte RTX 3060 Ti 8GB Gaming OC,30,128,388705,https://gpu.userbenchmark.com/Nvidia-RTX-3060-Ti/Rating/4090
GPU,GV-N306TGAMING OC-8GD REV2.0,Gigabyte,Gigabyte RTX 3060 Ti 8GB Gaming OC,30,128,388705,https://gpu.userbenchmark.com/Nvidia-RTX-3060-Ti/Rating/4090
GPU,RTX 3060 Ti VENTUS 3X 8G OC LHR,MSI,MSI RTX 3060 Ti 8GB Ventus 3X OC,30,128,388705,https://gpu.userbenchmark.com/Nvidia-RTX-3060-Ti/Rating/4090
GPU,GeForce RTX 3060 Ti VENTUS 2X OCV1 LHR,MSI,MSI RTX 3060 Ti 8GB Ventus 2X,30,128,388705,https://gpu.userbenchmark.com/Nvidia-RTX-3060-Ti/Rating/4090
GPU,GV-N306TEAGLE OC-8GD V2,Gigabyte,Gigabyte RTX 3060 Ti 8GB Eagle OC,30,128,388705,https://gpu.userbenchmark.com/Nvidia-RTX-3060-Ti/Rating/4090
GPU,GV-N306TGAMINGOC PRO-8GD REV3.0,Gigabyte,Gigabyte RTX 3060 Ti 8GB Gaming OC Pro,30,128,388705,https://gpu.userbenchmark.com/Nvidia-RTX-3060-Ti/Rating/4090
GPU,RTX 3060 Ti Gaming X Trio,MSI,MSI RTX 3060 Ti 8GB Gaming X Trio,30,128,388705,https://gpu.userbenchmark.com/Nvidia-RTX-3060-Ti/Rating/4090
GPU,ZT-A30610H-10MLHR,Zotac,Zotac RTX 3060 Ti 8GB Twin Edge OC,30,128,388705,https://gpu.userbenchmark.com/Nvidia-RTX-3060-Ti/Rating/4090
GPU,RTX 3060 Ti Ventus 2X 8G OCV1 LHR,MSI,MSI RTX 3060 Ti 8GB Ventus 3X OC,30,128,388705,https://gpu.userbenchmark.com/Nvidia-RTX-3060-Ti/Rating/4090
GPU,GeForce RTX 3060 Ti GAMING X 8G LHR,MSI,MSI RTX 3060 Ti 8GB Gaming X,30,128,388705,https://gpu.userbenchmark.com/Nvidia-RTX-3060-Ti/Rating/4090
GPU,,Nvidia,RTX 2080,33,124,316424,https://gpu.userbenchmark.com/Nvidia-RTX-2080/Rating/4026
GPU,RTX 2080 GAMING X TRIO,MSI,MSI RTX 2080 8GB Gaming X Trio,33,124,316424,https://gpu.userbenchmark.com/Nvidia-RTX-2080/Rating/4026
GPU,GV-N2080WF3OC-8GC,Gigabyte,Gigabyte RTX 2080 8GB Windforce OC,33,124,316424,https://gpu.userbenchmark.com/Nvidia-RTX-2080/Rating/4026
GPU,DUAL-RTX2080-O8G,Asus,Asus RTX 2080 8GB Dual OC,33,124,316424,https://gpu.userbenchmark.com/Nvidia-RTX-2080/Rating/4026
GPU,GV-N2080GAMING OC-8GC,Gigabyte,Gigabyte RTX 2080 8GB Gaming OC,33,124,316424,https://gpu.userbenchmark.com/Nvidia-RTX-2080/Rating/4026
GPU,08G-P4-2183-KR,EVGA,EVGA RTX 2080 8GB XC Ultra Gaming,33,124,316424,https://gpu.userbenchmark.com/Nvidia-RTX-2080/Rating/4026
GPU,ROG-STRIX-RTX2080-O8G-GAMING,Asus,Asus RTX 2080 8GB ROG STRIX,33,124,316424,https://gpu.userbenchmark.com/Nvidia-RTX-2080/Rating/4026
GPU,08G-P4-2182-KR,EVGA,EVGA RTX 2080 8GB XC Gaming,33,124,316424,https://gpu.userbenchmark.com/Nvidia-RTX-2080/Rating/4026
GPU,,Nvidia,GTX 1080-Ti,34,124,840268,https://gpu.userbenchmark.com/Nvidia-GTX-1080-Ti/Rating/3918
GPU,11G-P4-6390-KR,EVGA,EVGA GTX 1080 Ti 11GB Founders Edition,34,124,840268,https://gpu.userbenchmark.com/Nvidia-GTX-1080-Ti/Rating/3918
GPU,GV-N108TD5X-B,Nvidia,Gigabyte GTX 1080 Ti 11GB Founders Edition,34,124,840268,https://gpu.userbenchmark.com/Nvidia-GTX-1080-Ti/Rating/3918
GPU,GTX 1080 Ti Founders Edition,Nvidia,MSI GTX 1080 Ti 11GB Founders Edition,34,124,840268,https://gpu.userbenchmark.com/Nvidia-GTX-1080-Ti/Rating/3918
GPU,ZT-P10810A-10P,Nvidia,Zotac GTX 1080 Ti 11GB Founders Edition,34,124,840268,https://gpu.userbenchmark.com/Nvidia-GTX-1080-Ti/Rating/3918
GPU,GTX1080TI-FE,Asus,Asus GTX 1080 Ti 11GB Founders Edition,34,124,840268,https://gpu.userbenchmark.com/Nvidia-GTX-1080-Ti/Rating/3918
GPU,ROG-STRIX-GTX1080TI-O11G-GAMING,Asus,Asus GTX 1080 Ti 11GB Gaming OC,34,124,840268,https://gpu.userbenchmark.com/Nvidia-GTX-1080-Ti/Rating/3918
GPU,GTX 1080 TI GAMING X,MSI,MSI GTX 1080 TI 11GB Gaming X,34,124,840268,https://gpu.userbenchmark.com/Nvidia-GTX-1080-Ti/Rating/3918
GPU,GV-N108TAORUS-11GD,Gigabyte,Gigabyte GTX 1080 Ti 11GB AORUS,34,124,840268,https://gpu.userbenchmark.com/Nvidia-GTX-1080-Ti/Rating/3918
GPU,11G-P4-6696-KR,EVGA,EVGA GTX 1080 Ti 11GB FTW3 Gaming,34,124,840268,https://gpu.userbenchmark.com/Nvidia-GTX-1080-Ti/Rating/3918
GPU,ROG-STRIX-GTX1080TI-O11G-GAMING,Asus,Asus GTX 1080 Ti 11GB ROG Strix OC,34,124,840268,https://gpu.userbenchmark.com/Nvidia-GTX-1080-Ti/Rating/3918
GPU,11G-P4-6393-KR,EVGA,EVGA GTX 1080 Ti 11GB SC Black,34,124,840268,https://gpu.userbenchmark.com/Nvidia-GTX-1080-Ti/Rating/3918
GPU,ROG-STRIX-GTX1080TI-11G-GAMING,Asus,Asus GTX 1080 Ti 11GB ROG Strix,34,124,840268,https://gpu.userbenchmark.com/Nvidia-GTX-1080-Ti/Rating/3918
GPU,11G-P4-6593-KR,EVGA,EVGA GTX 1080 Ti 11GB SC2 Gaming,34,124,840268,https://gpu.userbenchmark.com/Nvidia-GTX-1080-Ti/Rating/3918
GPU,GV-N108TAORUS X-11GD,Gigabyte,Gigabyte GTX 1080 Ti 11GB AORUS Xtreme,34,124,840268,https://gpu.userbenchmark.com/Nvidia-GTX-1080-Ti/Rating/3918
GPU,,AMD,RX 6700-XT,35,122,35608,https://gpu.userbenchmark.com/AMD-RX-6700-XT/Rating/4109
GPU,,Nvidia,RTX 2070S (Super),40,115,663603,https://gpu.userbenchmark.com/Nvidia-RTX-2070S-Super/Rating/4048
GPU,08G-P4-3173-KR,EVGA,EVGA RTX 2070 Super 8GB SC XC Ultra Gaming,40,115,663603,https://gpu.userbenchmark.com/Nvidia-RTX-2070S-Super/Rating/4048
GPU,GV-N207SGAMING OC-8GC,Gigabyte,Gigabyte RTX 2070 Super 8GB Gaming,40,115,663603,https://gpu.userbenchmark.com/Nvidia-RTX-2070S-Super/Rating/4048
GPU,RTX 2070 SUPER VENTUS OC,MSI,MSI RTX 2070 Super 8GB Ventus,40,115,663603,https://gpu.userbenchmark.com/Nvidia-RTX-2070S-Super/Rating/4048
GPU,GV-N207SWF3OC-8GD,Gigabyte,Gigabyte RTX 2070 Super 8GB 3X Windforce,40,115,663603,https://gpu.userbenchmark.com/Nvidia-RTX-2070S-Super/Rating/4048
GPU,GV-N207SGAMING OC-8GD,Gigabyte,Gigabyte RTX 2070 Super 8GB 3X Gaming,40,115,663603,https://gpu.userbenchmark.com/Nvidia-RTX-2070S-Super/Rating/4048
GPU,RTX 2070 Super GAMING X,MSI,MSI RTX 2070 Super 8GB Gaming X,40,115,663603,https://gpu.userbenchmark.com/Nvidia-RTX-2070S-Super/Rating/4048
GPU,08G-P4-3071-KR,EVGA,EVGA RTX 2070 Super 8GB Super Black Gaming,40,115,663603,https://gpu.userbenchmark.com/Nvidia-RTX-2070S-Super/Rating/4048
GPU,DUAL-RTX-2070S-O8G-EVO,Asus,Asus RTX 2070 Super 8GB Dual Evo,40,115,663603,https://gpu.userbenchmark.com/Nvidia-RTX-2070S-Super/Rating/4048
GPU,ZT-T20710E-10M,Zotac,Zotac RTX 2070 Super 8GB Mini,40,115,663603,https://gpu.userbenchmark.com/Nvidia-RTX-2070S-Super/Rating/4048
GPU,08G-P4-2072-KR,EVGA,EVGA RTX 2070 Super 8GB KO Gaming,40,115,663603,https://gpu.userbenchmark.com/Nvidia-RTX-2070S-Super/Rating/4048
GPU,,AMD,RX 6600-XT,48,107,38970,https://gpu.userbenchmark.com/AMD-RX-6600-XT/Rating/4117
GPU,90-GA2TZZ-00UANF,ASRock,ASRock RX 6600 XT 8GB Challenger D OC,48,107,38970,https://gpu.userbenchmark.com/AMD-RX-6600-XT/Rating/4117
GPU,DUAL-RX6600XT-O8G,Asus,Asus RX 6600 XT 8GB Dual,48,107,38970,https://gpu.userbenchmark.com/AMD-RX-6600-XT/Rating/4117
GPU,RX-66XT8DFDQ,XFX,XFX RX 6600 XT 8GB Speedster SWFT 210,48,107,38970,https://gpu.userbenchmark.com/AMD-RX-6600-XT/Rating/4117
GPU,GV-R66XTGAMINGOC PRO-8GD,Gigabyte,Gigabyte RX 6600 XT 8GB Gaming OC Pro,48,107,38970,https://gpu.userbenchmark.com/AMD-RX-6600-XT/Rating/4117
GPU,Radeon RX 6600 XT GAMING X 8G,MSI,MSI RX 6600 XT 8GB Gaming X,48,107,38970,https://gpu.userbenchmark.com/AMD-RX-6600-XT/Rating/4117
GPU,RX 6600 XT MECH 2X 8G OC,MSI,MSI RX 6600 XT 8GB Mech 2X OC,48,107,38970,https://gpu.userbenchmark.com/AMD-RX-6600-XT/Rating/4117
GPU,AXRX 6600XT 8GBD6-3DH,PowerColor,PowerColor RX 6600 XT 8GB Fighter,48,107,38970,https://gpu.userbenchmark.com/AMD-RX-6600-XT/Rating/4117
GPU,11309-03-20G,Sapphire,Sapphire RX 6600 XT 8GB Pulse,48,107,38970,https://gpu.userbenchmark.com/AMD-RX-6600-XT/Rating/4117
GPU,,Nvidia,RTX 2070,49,104,478117,https://gpu.userbenchmark.com/Nvidia-RTX-2070/Rating/4029
GPU,GV-N2070GAMING OC-8GC,Gigabyte,Gigabyte RTX 2070 8GB Gaming OC,49,104,478117,https://gpu.userbenchmark.com/Nvidia-RTX-2070/Rating/4029
GPU,08G-P4-2172-KR,EVGA,EVGA RTX 2070 8GB XC Gaming Dual HDB,49,104,478117,https://gpu.userbenchmark.com/Nvidia-RTX-2070/Rating/4029
GPU,RTX 2070 GAMING Z 8G,MSI,MSI RTX 2070 8GB Gaming Z,49,104,478117,https://gpu.userbenchmark.com/Nvidia-RTX-2070/Rating/4029
GPU,08G-P4-2173-KR,EVGA,EVGA RTX 2070 8GB XC Ultra Gaming,49,104,478117,https://gpu.userbenchmark.com/Nvidia-RTX-2070/Rating/4029
GPU,ROG-STRIX-RTX2070-O8G-GAMING,Asus,Asus RTX 2070 8GB ROG STRIX,49,104,478117,https://gpu.userbenchmark.com/Nvidia-RTX-2070/Rating/4029
GPU,RTX 2070 ARMOR 8G OC,MSI,MSI RTX 2070 8GB Armor OC,49,104,478117,https://gpu.userbenchmark.com/Nvidia-RTX-2070/Rating/4029
GPU,GV-N2070WF3-8GC,Gigabyte,Gigabyte RTX 2070 8GB Windforce,49,104,478117,https://gpu.userbenchmark.com/Nvidia-RTX-2070/Rating/4029
GPU,08G-P4-1071-KR,EVGA,EVGA RTX 2070 8GB Black Gaming,49,104,478117,https://gpu.userbenchmark.com/Nvidia-RTX-2070/Rating/4029
GPU,ZT-T20700E-10P,Zotac,Zotac RTX 2070 8GB Mini,49,104,478117,https://gpu.userbenchmark.com/Nvidia-RTX-2070/Rating/4029
GPU,DUAL-RTX-2070-8G,Asus,Asus RTX 2070 8GB Dual,49,104,478117,https://gpu.userbenchmark.com/Nvidia-RTX-2070/Rating/4029
GPU,GeForce RTX 2070 TRI FROZR,MSI,MSI RTX 2070 8GB Tri Frozr,49,104,478117,https://gpu.userbenchmark.com/Nvidia-RTX-2070/Rating/4029
GPU,,Nvidia,GTX 1080,50,102,1082454,https://gpu.userbenchmark.com/Nvidia-GTX-1080/Rating/3603
GPU,08G-P4-6180-KR,EVGA,EVGA GTX 1080 8GB Founders Edition,50,102,1082454,https://gpu.userbenchmark.com/Nvidia-GTX-1080/Rating/3603
GPU,GTX1080-8G,Asus,ASUS GTX 1080 8GB Founders Edition,50,102,1082454,https://gpu.userbenchmark.com/Nvidia-GTX-1080/Rating/3603
GPU,GEFORCE GTX 1080 Founders Edition,Nvidia,MSI GTX 1080 8GB Founders Edition,50,102,1082454,https://gpu.userbenchmark.com/Nvidia-GTX-1080/Rating/3603
GPU,ZT-P10800A-10P,Nvidia,Zotac GTX 1080 8GB Founders Edition,50,102,1082454,https://gpu.userbenchmark.com/Nvidia-GTX-1080/Rating/3603
GPU,GV-N1080D5X-8GD-B,Nvidia,Gigabyte GTX 1080 8GB Founders Edition,50,102,1082454,https://gpu.userbenchmark.com/Nvidia-GTX-1080/Rating/3603