name,model,type_mb1,type_mb2,len_gpu_max,watercooling_compat,price
Cooler Master MasterBox Q300L,MCB-Q300L-KANN-S00,Micro ATX,Mini ITX,360mm,Oui,47
Antec VSK-3000B-U3/U2,0-761345-92025-4,Micro ATX,Mini ITX,318mm,Non,42
Aerocool Tomahawk-A,ACCM-PV17122.11,Mini ITX,Micro ATX,324mm,Non,47
Aerocool Streak,ACCM-PV19012.11,ATX,Micro ATX,335mm,Oui,42
Aerocool Split,ACCM-PV18012.11,ATX,Micro ATX,326mm,Non,38
Aerocool Cylon Mini,ACCS-PV12012.11,ATX,ITX,300mm,Non,42
Aerocool Cylon Mini,ACCS-PV12012.21,ATX,ITX,300mm,Non,43
Aerocool CS-107,ACCS-PC14032.11,Mini ITX,Micro ATX,286mm,Oui,47
Aerocool CS-106,ACCS-PC13014.11,Mini ITX,Micro ATX,450mm,Oui,34
Aerocool CS-101,EN55200,ATX,ITX,240mm,Non,47
Fractal Design Focus G,FD-CA-FOCUS-RD-W,ATX,Micro ATX,380mm,Oui,68
Zalman R2,R2 BLACK,Mini ITX,Micro ATX,350mm,Oui,45
Zalman T6,T6,ATX,Micro ATX,280mm,Non,38
Zalman S5,S5 BLACK,ATX,Micro ATX,340mm,Oui,64
Zalman S5,S5 WHITE,Mini ITX,Micro ATX,340mm,Oui,64
Zalman S4 Plus,S4 PLUS,ATX,Micro ATX,315mm,Oui,60
Zalman S2 TG,S2 TG,ATX,Micro ATX,330mm,Oui,47
Zalman R2,R2 WHITE,Mini ITX,ATX,350mm,Oui,49
MSI MAG VAMPIRIC 100R,306-7G07R25-809,ATX,Micro ATX,300mm,Oui,68
MSI MAG FORGE 110R,306-7G16R21-809,Mini ITX,ATX,330mm,Oui,59